dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,mean_abs_shap_mean,mean_abs_shap_std,mean_abs_shap_ci95_low,mean_abs_shap_ci95_high,mean_abs_shap_n
cdc,audit,5,non_iid,0.5,federated,fedavg,mlp,none,calib_f1_optimal,2,GenHlth,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.592,5,1.017991728750356,0.4145277603476424,0.6546421264767124,1.3813413310239997,5
cdc,audit,5,non_iid,0.5,federated,fedavg,mlp,none,fixed_0p5,2,GenHlth,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.592,5,1.017991728750356,0.4145277603476424,0.6546421264767124,1.3813413310239997,5
cdc,audit,5,non_iid,0.5,federated,fedprox,mlp,none,calib_f1_optimal,2,GenHlth,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.592,5,0.9971768903123852,0.3934670828834104,0.6522877857719322,1.3420659948528382,5
cdc,audit,5,non_iid,0.5,federated,fedprox,mlp,none,fixed_0p5,2,GenHlth,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.592,5,0.9971768903123852,0.3934670828834104,0.6522877857719322,1.3420659948528382,5
cdc,audit,5,non_iid,1.0,federated,fedavg,mlp,none,calib_f1_optimal,4,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9592330974793636,0.3644868597741826,0.6397462784980452,1.2787199164606815,5
cdc,audit,5,non_iid,1.0,federated,fedavg,mlp,none,fixed_0p5,4,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9592330974793636,0.3644868597741826,0.6397462784980452,1.2787199164606815,5
cdc,audit,5,non_iid,0.1,federated,fedprox,mlp,none,calib_f1_optimal,4,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9543415805066952,0.4443319856132616,0.5648674229384802,1.34381573807491,5
cdc,audit,5,non_iid,0.1,federated,fedprox,mlp,none,fixed_0p5,4,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9543415805066952,0.4443319856132616,0.5648674229384802,1.34381573807491,5
cdc,audit,5,non_iid,1.0,federated,fedprox,mlp,none,calib_f1_optimal,4,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9487518475932456,0.3562899909221665,0.6364499009465847,1.2610537942399065,5
cdc,audit,5,non_iid,1.0,federated,fedprox,mlp,none,fixed_0p5,4,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9487518475932456,0.3562899909221665,0.6364499009465847,1.2610537942399065,5
cdc,audit,5,non_iid,0.1,federated,fedavg,mlp,none,fixed_0p5,4,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9447934977938436,0.4412224983681194,0.5580449259689086,1.3315420696187783,5
cdc,audit,5,non_iid,0.1,federated,fedavg,mlp,none,calib_f1_optimal,4,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9447934977938436,0.4412224983681194,0.5580449259689086,1.3315420696187783,5
cdc,audit,3,non_iid,0.5,federated,fedavg,mlp,none,fixed_0p5,2,GenHlth,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.592,5,0.9299163415848928,0.3498263382622895,0.6232800362965613,1.236552646873224,5
cdc,audit,3,non_iid,0.5,federated,fedavg,mlp,none,calib_f1_optimal,2,GenHlth,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.592,5,0.9299163415848928,0.3498263382622895,0.6232800362965613,1.236552646873224,5
cdc,audit,5,non_iid,1.0,federated,fedavg,mlp,none,calib_f1_optimal,3,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.92968700283664,0.2693442365850188,0.6935963700747001,1.16577763559858,5
cdc,audit,5,non_iid,1.0,federated,fedavg,mlp,none,fixed_0p5,3,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.92968700283664,0.2693442365850188,0.6935963700747001,1.16577763559858,5
cdc,audit,5,non_iid,1.0,federated,fedprox,mlp,none,fixed_0p5,3,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9173738745050486,0.2633858925496479,0.686505960563305,1.148241788446792,5
cdc,audit,5,non_iid,1.0,federated,fedprox,mlp,none,calib_f1_optimal,3,GenHlth,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,5,0.9173738745050486,0.2633858925496479,0.686505960563305,1.148241788446792,5
cdc,audit,3,non_iid,0.5,federated,fedprox,mlp,none,calib_f1_optimal,2,GenHlth,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.592,5,0.9140586415325828,0.3494174061340726,0.6077807810587069,1.2203365020064587,5
cdc,audit,3,non_iid,0.5,federated,fedprox,mlp,none,fixed_0p5,2,GenHlth,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.592,5,0.9140586415325828,0.3494174061340726,0.6077807810587069,1.2203365020064587,5
